City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kirando,TZ,83.26,scattered clouds,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
3,Saint-Joseph,RE,78.1,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
6,Salalah,OM,83.7,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
7,Caravelas,BR,75.58,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
8,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
17,East London,ZA,87.15,overcast clouds,-33.0153,27.9116,Tu Casa
21,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
23,Khandbari,NP,78.69,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
26,Hilo,US,80.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Wanning,CN,80.19,broken clouds,18.8003,110.3967,Paradise Hotel
34,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Takoradi,GH,78.8,light rain,4.8845,-1.7554,Raybow International Hotel
39,Kasempa,ZM,84.72,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
43,Sambava,MG,77.32,clear sky,-14.2667,50.1667,Melrose
50,Saint-Philippe,RE,79.11,clear sky,-21.3585,55.7679,Le four à pain
52,Quatre Cocos,MU,78.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
57,Faanui,PF,78.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Eyl,SO,89.58,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
59,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
62,Camocim,BR,78.3,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
64,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
67,Meulaboh,ID,84.34,light rain,4.1363,96.1285,Kost Pria
68,Ormara,PK,81.01,clear sky,25.2088,64.6357,Kenara Colony House for Rent
70,Butaritari,KI,82.24,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
76,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
77,Tumarbong,PH,84.34,overcast clouds,10.3766,119.4579,Rufino’s Place
79,Sinnamary,GF,76.55,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
81,Camabatela,AO,75.04,scattered clouds,-8.1881,15.375,Comércio e Prestação de Serviços
87,Port Alfred,ZA,78.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
88,San Juan Del Sur,NI,77.31,overcast clouds,11.2529,-85.8705,Nuestra Casa
89,Jabinyanah,TN,77.79,overcast clouds,35.035,10.9081,maison belmabrouk
94,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
96,Nishihara,JP,83.48,scattered clouds,26.1842,127.7558,Minshuku Agaihama
97,Mizan Teferi,ET,77.2,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
101,Atuona,PF,76.96,light rain,-9.8,-139.0333,Villa Enata
104,Surt,LY,83.16,scattered clouds,31.2089,16.5887,فندق المدينة
108,Kisangani,CD,84.99,overcast clouds,0.5167,25.2,Grand Ramela Hotel
110,Sao Filipe,CV,78.6,few clouds,14.8961,-24.4956,Hotel Xaguate
114,Mareeba,AU,79.45,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
119,Banjar,ID,82.2,broken clouds,-8.19,114.9675,The Hamsa Resort
120,Tabuk,PH,78.37,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
130,Dingle,PH,82.96,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
131,Mwene-Ditu,CD,85.42,scattered clouds,-7.0,23.45,African'zuri
134,Puqi,CN,75.07,clear sky,29.7167,113.8833,Ramada Plaza Chibi
139,Altar,MX,77.38,overcast clouds,30.7,-111.8167,Hotel Maria Elena
143,Ahome,MX,76.05,clear sky,25.9167,-109.1833,La quinta del diablo
148,Liling,CN,80.67,clear sky,27.6667,113.5,Shangri-La Hotel
152,Celestun,MX,77.18,overcast clouds,20.8667,-90.4,Posada Lilia
155,Kavieng,PG,82.17,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
158,Diffa,NE,89.04,clear sky,13.3154,12.6113,ProDAF/Diffa
160,Suluq,LY,78.49,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
161,Guasdualito,VE,75.2,overcast clouds,7.2424,-70.7324,Hotel Cuibas
162,Georgetown,MY,83.89,scattered clouds,5.4112,100.3354,Cititel Penang
164,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
165,Neyshabur,IR,75.22,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
173,Lazaro Cardenas,MX,78.93,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
178,Buala,SB,81.03,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
182,Marsa Matruh,EG,76.26,clear sky,31.3525,27.2453,Beau Site
184,Eluru,IN,87.89,scattered clouds,16.7,81.1,Sri Krishna Residency - VTR Square Eluru
186,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
188,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
195,Dakar,SN,81.48,few clouds,14.6937,-17.4441,Novotel Dakar
197,Najran,SA,84.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
198,Sabha,LY,79.97,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
200,Labuhan,ID,85.23,light rain,-6.8844,112.2051,DoubleFAG
202,Bako,ET,75.88,light rain,5.7833,36.5667,Goh Hotel
205,Miri,MY,82.96,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
211,Pangai,TO,76.44,few clouds,-19.8,-174.35,Ha'apai Beach Resort
220,Biharamulo,TZ,79.72,broken clouds,-2.6319,31.3089,Annex Lodge
223,Black River,JM,76.69,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
226,Kirakira,SB,80.51,overcast clouds,-10.4544,161.9205,SanBiz Lodge
229,Port Elizabeth,ZA,79.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
234,Dehloran,IR,89.65,overcast clouds,32.6941,47.2679,کافه گیم استورم
235,Champua,IN,81.75,broken clouds,22.0833,85.6667,Rahul Nayak jaintgarh
242,Houston,US,78.13,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
244,Cairns,AU,83.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
247,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
252,Kinshasa,CD,84.16,broken clouds,-4.3246,15.3215,Star Hotel II
256,San Patricio,US,80.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
257,Bien Hoa,VN,89.58,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
261,Axim,GH,78.91,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
267,Bonthe,SL,76.59,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
271,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
273,Trairi,BR,77.79,broken clouds,-3.2778,-39.2689,janelas do mar
275,Sibolga,ID,83.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
276,Itarema,BR,77.99,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
283,Port Moresby,PG,81.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
286,Lae,PG,84.87,overcast clouds,-6.7221,146.9847,Phils Hotel
287,Yining,CN,76.71,clear sky,29.0361,114.5636,Xiushui Hotel
288,Lengshuitan,CN,80.56,few clouds,26.4111,111.5956,Jialong Hotel
294,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
295,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
296,Neiafu,TO,77.95,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
297,Fuerte,PH,86.11,broken clouds,17.5381,120.3644,Giordion Inn
305,Awjilah,LY,82.89,clear sky,29.1081,21.2869,المنزل
306,Kieta,PG,79.95,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
307,Kalmunai,LK,85.66,overcast clouds,7.4167,81.8167,VS Villa
309,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
310,Nong Phai,TH,84.13,scattered clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
312,Bubaque,GW,81.48,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
315,Lokoja,NG,76.37,light rain,7.8024,6.743,Hotel Charvid
317,Paka,MY,82.81,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
319,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
321,Atambua,ID,81.43,scattered clouds,-9.1061,124.8925,Ros Muskanan
323,Inhambane,MZ,82.36,scattered clouds,-23.865,35.3833,Oceano
327,Isiolo,KE,84.33,broken clouds,0.3546,37.5822,Gaddisa Hotel
329,Damaturu,NG,82.11,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
333,Majene,ID,84.16,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
340,Port Blair,IN,84.45,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
346,Hurghada,EG,82.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
349,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
350,Amarwara,IN,78.3,few clouds,22.3,79.1667,Prasiya Chat Bhandaar Amareara
353,Luanda,AO,77.83,few clouds,-8.8368,13.2343,EPIC SANA Luanda
361,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
368,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
377,Emerald,AU,76.33,clear sky,-23.5333,148.1667,The Irish Village
378,Antalaha,MG,77.5,clear sky,-14.9003,50.2788,Hotel Vitasoa
381,Montego Bay,JM,78.6,few clouds,18.4712,-77.9188,Sunscape Splash Montego Bay
385,Matara,LK,81.07,light rain,5.9485,80.5353,Amaloh Boutique Resort
387,Nargana,PA,79.09,overcast clouds,9.4428,-78.5906,Dubbir
390,Dapaong,TG,81.64,broken clouds,10.8639,0.205,Hotel Caroli
391,Alvorada,BR,75.78,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
395,Nuevo Progreso,MX,76.46,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
397,Rudsar,IR,75.18,light rain,37.1376,50.288,Hotel Bahar
400,Weligama,LK,80.4,moderate rain,5.9667,80.4167,Weligama Bay Resort
402,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
412,Owerri,NG,78.37,overcast clouds,5.4833,7.0304,Dream Land Hotel
415,Boyolangu,ID,81.37,light rain,-8.1181,111.8935,Yos ega cv
420,Mitsamiouli,KM,77.56,clear sky,-11.3847,43.2844,Foyer ADM
424,Tura,IN,77.31,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
432,Ngozi,BI,77.5,scattered clouds,-2.9075,29.8306,Ruhuka Hotel
443,Inongo,CD,76.35,overcast clouds,-1.95,18.2667,Hotel Du Lac
447,Dodoma,TZ,77.56,few clouds,-6.1722,35.7395,Royal Village Hotel
449,Sindi,IN,88.68,moderate rain,20.8,78.8667,Vaibhav Kudmati
452,Kiomboi,TZ,80.02,scattered clouds,-4.2667,34.3667,Noah DS Site
453,Gwadar,PK,85.6,clear sky,25.1216,62.3254,Sadaf Resort
459,Luwuk,ID,83.71,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
460,Banda Aceh,ID,84.43,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
463,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
467,Basoko,CD,84.56,broken clouds,1.2391,23.616,Jackyna Hotel
474,Aden,YE,86.97,clear sky,12.7794,45.0367,Sama Emirate Hotel
475,Huambo,AO,79.12,scattered clouds,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
478,Erzin,TR,76.73,few clouds,36.9559,36.2,Artemis Otel
480,Luena,AO,88.66,few clouds,-11.7833,19.9167,Hotel Kandamba
481,Xuddur,SO,86.11,few clouds,4.1213,43.8894,Banjanay Hotel
482,Songea,TZ,80.47,clear sky,-10.6833,35.65,mtakuja
485,Puerto Escondido,MX,79.16,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
486,Maningrida,AU,84.88,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
487,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
490,Narwar,IN,84.54,clear sky,25.65,77.9,हनुमान मन्दिर
491,Daru,PG,80.71,overcast clouds,-9.0763,143.2092,Daru Lodge
493,Tarakan,ID,89.1,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
495,Sorong,ID,85.44,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
499,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
501,Dicabisagan,PH,81.25,light rain,17.0818,122.4157,Nancy Montanes Bernardo
505,Shakawe,BW,89.91,broken clouds,-18.3667,21.85,EdenWood Lodge
509,Gizo,SB,82.71,overcast clouds,-8.103,156.8419,Imagination Island
511,Omboue,GA,81.01,light rain,-1.5746,9.2618,Hotel Olako
512,Amahai,ID,83.48,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
513,Edea,CM,80.01,overcast clouds,3.8,10.1333,Micotel Hotel
515,Kathmandu,NP,79.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
521,Arlit,NE,89.83,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
522,Beira,MZ,85.05,clear sky,-19.8436,34.8389,Beira Terrace Hotel
527,Pasighat,IN,79.61,broken clouds,28.0667,95.3333,Siang Guest House
528,Kutum,SD,82.47,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
535,Petauke,ZM,85.35,clear sky,-14.2426,31.3253,Kwamwanja Wanthu
539,Bosaso,SO,88.93,clear sky,11.2842,49.1816,Red Sea Hotel
541,El Campo,US,76.84,overcast clouds,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
543,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
547,Dibulla,CO,76.5,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
550,Makakilo City,US,79.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
551,Bogo,PH,85.68,light rain,11.0517,124.0055,Acrige Apartelle
552,Cocobeach,GA,79.03,light rain,1.0002,9.5823,Hotel Esperance
553,Alyangula,AU,84.54,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
554,Karratha,AU,82.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
562,Dingli,MT,75.81,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
565,Tautira,PF,76.21,light rain,-17.7333,-149.15,Pension Oaoa
572,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Base Lodging
576,Pathein,MM,87.84,broken clouds,16.7833,94.7333,Pathein Hotel
577,Montepuez,MZ,86.31,clear sky,-13.1256,38.9997,PembaAparthotel
579,Tual,ID,83.68,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
581,Kasane,BW,86.09,clear sky,-17.8167,25.15,The Old House
583,Matay,EG,78.1,clear sky,28.419,30.7792,Nag Aespen
584,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
587,Bambanglipuro,ID,80.47,overcast clouds,-7.95,110.2833,Puri Brata
588,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
590,Kavaratti,IN,81.59,broken clouds,10.5669,72.642,Green leaf
593,Bodden Town,KY,80.92,scattered clouds,19.2833,-81.25,Will T Place
595,Gat,IL,80.4,broken clouds,31.61,34.7642,OlusHome
597,Hwange,ZW,88.48,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
599,Giyani,ZA,89.62,few clouds,-23.3025,30.7187,Kulani Country Lodge
600,Bam,IR,86.36,clear sky,29.106,58.357,Bam Tourist Hotel
604,Mahibadhoo,MV,79.41,overcast clouds,3.7833,72.9667,Omadhoo Inn
607,Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
608,Nusaybin,TR,81.99,few clouds,37.0778,41.2178,Aydinlar Hotel
612,Barberton,ZA,82.45,broken clouds,-25.7884,31.0532,Barberton B&B
613,Lamu,KE,84.42,broken clouds,-2.2717,40.902,Lamu House
616,Manuangan,PH,84.11,overcast clouds,7.2769,124.4044,Deejay's Inn & Cafe
618,Mehtar Lam,AF,80.15,clear sky,34.6714,70.2094,Fareed Hakamani
619,Chandil,IN,85.8,broken clouds,22.9667,86.05,Lambu Hotel
620,Baracoa,CU,78.91,broken clouds,20.3467,-74.4958,Hostal Rio Miel
622,Linguere,SN,81.0,broken clouds,15.3953,-15.1193,AYO Casablanca
628,Ambovombe,MG,83.98,clear sky,-25.1667,46.0833,RELAHARA
632,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
634,Perbaungan,ID,82.51,overcast clouds,3.5679,98.956,Hotel Bidadari
639,Birjand,IR,84.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
641,Balabac,PH,83.93,few clouds,7.9868,117.0645,Batalla’s Lodging House
644,Calvinia,ZA,84.33,clear sky,-31.4707,19.776,Die Lemoenhuis
648,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
649,Abu Kamal,SY,86.92,clear sky,34.4506,40.9171,البوكمال
651,Harper,LR,78.53,broken clouds,4.375,-7.7169,Screensaver
652,Chodavaram,IN,87.64,scattered clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
654,Mungwi,ZM,79.93,clear sky,-10.1732,31.3694,Ilamfya Guest House
655,Lufilufi,WS,78.58,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
657,Impfondo,CG,82.87,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
659,Bilma,NE,87.6,clear sky,18.6853,12.9164,Expeditions Ténére voyages
663,Betul,IN,81.01,scattered clouds,21.9153,77.8961,STARiHotel Betul MP
664,Barabai,ID,84.92,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
671,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
673,Tahta,EG,83.57,clear sky,26.7693,31.5021,فندق الزيات
675,Bengkulu,ID,75.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
678,Trincomalee,LK,82.6,few clouds,8.5711,81.2335,Welcombe Hotel
682,Kiunga,PG,75.02,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
